id	filename	md5	size	state
858abd7d-396c-4dd3-b570-94f99ac9b9c0	2274e33f-7c66-441f-b480-044b26c44a6a.rna_seq.augmented_star_gene_counts.tsv	f25c8847b2f6bd6cd1dc3c7ac8727191	4235200	released
d305b0b8-efa5-40f9-b4f9-7ff6557c3674	13ca4dfb-6bef-429f-9658-296bbdc1beb8.rna_seq.augmented_star_gene_counts.tsv	bda018e267f144b915af0a513806df49	4239452	released
b4308fc4-3c4c-4eda-8e28-3aacf9f04bc0	fdce9f4e-2a2b-4f59-b8a8-32836db64ea5.rna_seq.augmented_star_gene_counts.tsv	2486b7eb76098a6a4c2a4e3e4980fb23	4253478	released
4473e5ec-dee9-462c-8433-c51b29c4626e	0e47b8bb-679b-4942-8759-7388abe9aacb.rna_seq.augmented_star_gene_counts.tsv	f4bf09480d191ae8f778d75384d2d7ad	4232792	released
9f5d177b-cf6e-4d5c-869d-845c8aa6fb73	ff06afdf-d79c-4f6b-a8ea-ef81b478bea7.rna_seq.augmented_star_gene_counts.tsv	5713c968417e687923ae3719b6a30513	4233578	released
7e0f37e9-280e-470d-8ec0-aa57fbd5f07c	88f0e50c-df5f-42c6-b591-97dd11572f63.rna_seq.augmented_star_gene_counts.tsv	2b17f9b502e852ac859a49c08a05a162	4233200	released
4213466a-89e1-4273-92b0-948e921fd59a	8c686928-1b0b-409b-90c4-c18015a70b52.rna_seq.augmented_star_gene_counts.tsv	4886ac64cc43d3cd42ff6a69469247b3	4267135	released
4881f536-790c-4c1c-9c19-d1c00057664f	c45b709b-951c-4382-9e91-0d38c7bc559f.rna_seq.augmented_star_gene_counts.tsv	0a49492c4c13bae26ed9838aa90d0c74	4243272	released
89cdd19d-b0ee-4ae8-ac32-b2c938058472	570f101c-637a-453c-946d-795b7ae05ff9.rna_seq.augmented_star_gene_counts.tsv	1627aaf03c3899affd42cd2e207577da	4241656	released
9a67ded0-92b0-48a4-bed8-43f944ff2acd	0a8cfb56-ee6e-4cef-b35f-38c3bdf21817.rna_seq.augmented_star_gene_counts.tsv	16276c98b26d8a40134c627afa5c0bd6	4259883	released
edc9bf50-9542-433d-af38-283b4e77f17b	43c3a739-d8ba-42ef-b385-927a5f587d7b.rna_seq.augmented_star_gene_counts.tsv	f25864eb3feab734243830326dba2ffa	4245537	released
5df6cdee-9f9e-4dfe-9f40-72727a9e0b15	58c8c207-21f4-489a-87e8-d1493970482d.rna_seq.augmented_star_gene_counts.tsv	2d7871a6db363ac120609d7a8b3a97bd	4240910	released
d89f60e5-23be-42ed-86ed-4ae80a6a1baa	515add64-0ee2-48cb-a5ce-fc26398a671e.rna_seq.augmented_star_gene_counts.tsv	f61c824020f9376003d81d2ff558f943	4239471	released
c9dd0b68-5c32-4686-b1e7-535e7040a5aa	778964ec-c580-4252-8ec6-690161698cd3.rna_seq.augmented_star_gene_counts.tsv	4f5e0ac25a1c3ba96617053abee65691	4240023	released
f15dc2b8-c1e3-4e27-8245-c4706baa8517	b666be40-4027-417f-81ed-6315b961cd98.rna_seq.augmented_star_gene_counts.tsv	7aec15adcde12071651d4d0a754e8fd0	4244542	released
f2f16e96-2c61-47f3-a697-baec786f07a1	90f5d5aa-9eef-4cb3-a64c-7743a2fe572b.rna_seq.augmented_star_gene_counts.tsv	032a4bcf1d036000dd6b4bfaaddeec40	4240183	released
b6d66063-5c82-4be2-9355-1ba53abbb29b	7b582aa9-9564-4c04-9b68-a33f797056a7.rna_seq.augmented_star_gene_counts.tsv	a52867d5c8ff8ef8000232d1dc062db7	4230428	released
4e1add14-24f2-4ee0-aaf6-053116115a52	8473bc80-0ea5-4e1e-a761-46851d97e4ff.rna_seq.augmented_star_gene_counts.tsv	4709da5a4c4693e2a7f09d25613c4831	4245961	released
ef229777-5389-4bc3-a2cd-f885d7b5f3b8	a3c7ca2a-4bd8-44d3-954e-d2ab818802fa.rna_seq.augmented_star_gene_counts.tsv	dc1e566f9844a4b27e99efbf39d2371a	4260170	released
3664ec56-3c20-47ab-ba37-e6a02e24af1d	ff757488-940a-461a-999f-cefe4e19fc08.rna_seq.augmented_star_gene_counts.tsv	9b9f90c12a1e82d65ed5c8d322cac5b5	4232918	released
454cc158-5444-4201-9672-ef1d1f0516ed	ee2afa06-246e-4e43-9a2f-22cd500ea8f7.rna_seq.augmented_star_gene_counts.tsv	44db0764621b78fb96dd8248d426b4c9	4248444	released
c105286e-08ac-4988-85d3-41d5d9f5fdf5	1d551553-e0fd-4008-ab18-93fbf77cf9b9.rna_seq.augmented_star_gene_counts.tsv	04a23a812439c0b3c8cb80c40ca69c87	4233913	released
d849e09d-3614-435d-b257-8a895c0249ba	0416296d-5a48-4405-b93b-32190182f308.rna_seq.augmented_star_gene_counts.tsv	5fe0a1e92294a85e59d4e4b3195a1c0f	4250930	released
3be772ed-21fa-4d87-9e58-fc9f9b7b9323	8fa46159-7340-44ad-894f-f611ecead93d.rna_seq.augmented_star_gene_counts.tsv	fd34161fc6f3825df3cb4ca5e2671c26	4236950	released
88dabd87-62d9-443a-abfb-87aac7913130	fb9197ac-e658-4294-bf02-6dd0bc7a277b.rna_seq.augmented_star_gene_counts.tsv	6a10534fc8a8e450b05887d5b3d52864	4237597	released
f3705f68-9ed0-4945-9554-5cb2a7dd20dc	f63b906b-4b3b-4dab-b3f9-210baa574ee5.rna_seq.augmented_star_gene_counts.tsv	f7478c01465f7812e6d0fcfe6f493a24	4258855	released
f9c798c4-0efd-4887-8535-6e2e0298556e	42aeebe7-20fc-463e-84a4-90964a61c5fb.rna_seq.augmented_star_gene_counts.tsv	98f13c3bfb796e7f07704db7a2f5ae10	4250795	released
54dc4ad5-8f8d-4d78-a50b-8c2cf7eb2ea0	649e5ee8-e10c-4268-a1d7-77b38f5154ea.rna_seq.augmented_star_gene_counts.tsv	0326e24ab25179b51fe7d3ccf1ede190	4231260	released
e4f1f5e7-b13d-4968-a6cc-b877f107e470	edf31bdf-694c-413e-97a8-3f4e6baea5cb.rna_seq.augmented_star_gene_counts.tsv	829dc1140f4483ca0355dc4d11703d1a	4248934	released
86ed5b38-ea85-43c1-a4bf-a8b6dbdf6425	2790a8f4-e86f-4caf-b560-3394c5c65c7d.rna_seq.augmented_star_gene_counts.tsv	a048d8317b17f043cbeb7d89fb63bcda	4243545	released
19fb2e8f-1227-4388-b553-1fc39c26ed48	e8788eed-247a-4338-80f5-e648825de780.rna_seq.augmented_star_gene_counts.tsv	04959f0bd3b98538e4bf525c0724cde1	4234489	released
fe79c09e-f0ac-4166-b789-33fa1d2fb9d0	915f6c40-fe7f-42ee-ac0d-a82a87c1d9cd.rna_seq.augmented_star_gene_counts.tsv	b6a2748eddda493afef6ac29d1a6dfae	4254485	released
