TCGA.BH.A1FM.11B.23R.A13Q.07	TCGA.E2.A1LB.11A.22R.A144.07	TCGA.BH.A208.11A.51R.A157.07	TCGA.BH.A18K.11A.13R.A12D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A18J.11A.31R.A12D.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A0HA.11A.31R.A12P.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.E2.A158.11A.22R.A12D.07	TCGA.BH.A0BQ.11A.33R.A115.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A1F2.11A.32R.A13Q.07	TCGA.B6.A0WY.01A.11R.A109.07	TCGA.AN.A0G0.01A.11R.A034.07	TCGA.E2.A1IL.01A.11R.A14D.07	TCGA.BH.A0HX.01A.21R.A056.07	TCGA.A7.A26G.01A.21R.A169.07	TCGA.AR.A24X.01A.11R.A169.07	TCGA.A8.A076.01A.21R.A00Z.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.A8.A09V.01A.11R.A034.07	TCGA.C8.A27B.01A.11R.A169.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.AR.A1AW.01A.21R.A12P.07	TCGA.BH.A1EX.01A.11R.A13Q.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.AO.A12A.01A.21R.A115.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.A8.A07E.01A.11R.A034.07	TCGA.A2.A0CT.01A.31R.A056.07	TCGA.BH.A18U.01A.21R.A12D.07
C00148	0.00479400764276938	0.0493905798773789	0.0264261760558104	0.0180340168829831	0.000999705669975759	0.00187697421639921	0.00651361626965219	0.0221393075592198	0.000725130290514797	0.00105147758659629	0.0046062873099797	0.00190459024645273	0.00847717812181847	0.0122257413972896	0.0205983086976469	0.00304457360695176	0.00428744318402663	0.0287483680708159	0.0126895264466611	1.52620749371835e-09	0.0793454526947034	0.439353063604489	0.0882424490386721	0.0298102965149051	0.118624275573778	0.0989130031576192	0.102664138595823	0.147203795744391	0.125416377377025	0.0183216784220648	0.118545808842719	0.0328348398788751	0.0738328485915184	0.104035758572642	0.0802070139369421	0.0817520702207603	0.0902366005471328	0.112853759521312	0.043290279322868	0.0870001605363002
C00065	0.0364847223910859	0.166927180092394	0.0144112130495049	0.0258179936714589	0.192075689277153	0.0213942509436628	0.0194012903705847	0.0825098636836091	0.178546541375374	0.0147324220147034	1.64450145521133e-05	0.111629046498006	0.0888214134566602	0.0092034260088153	0.036845565722856	0.0366620010738807	0.00855904682569875	0.0194532852357996	0.225865642000331	0.0169112606974651	0.0558133930065843	0.878454268665923	0.0455913295366357	0.118984548202074	0.185796578522824	0.000230561092872117	0.0579938091972583	0.21337203223154	1.62606547461364e-05	0.0345651808262328	0.733031728724833	0.106961843303081	0.106061518662358	0.332629328806774	0.028592693970698	0.0419671536399012	0.0296261514354891	0.0154369544532	4.69363937163347e-05	0.34898517696415
C00042	2.33378891668634e-05	3.58743826036623e-05	3.44673463616996e-05	4.00804453317694e-05	2.53562043522892e-05	2.66036932730085e-05	5.08497013487208e-05	2.37625196656266e-05	4.26620568800828e-05	1.56648272572335e-05	2.12446030669611e-05	2.28246247855335e-05	3.44404332832671e-05	3.49460544792901e-05	3.00381896854995e-05	3.13163640052183e-05	0.0471402254779355	3.15891801895285e-05	0.0933995032571385	3.02011048737283e-05	3.28217096741135e-05	9.57665550194164e-07	0.029911558563773	0.00876536292658459	0.00715309092994476	5.24437948843381e-05	3.42919128443198e-05	1.42986689155578e-09	0.0146623182381259	0.21817091870704	2.24384697611324e-06	7.1257921785417e-09	2.75030788878805e-05	2.5359950800441e-05	3.15669728532253e-05	0.275920797435979	4.71340382413032e-05	1.25279703028225e-05	2.42340963623189e-05	0.0108316256248737
C00122	0.209163435812569	0.243705159649343	0.250863437038589	0.352222621996198	0.448683332909486	0.388158134527869	0.143856328409325	0.333809008211462	0.352206661485316	0.456858400453594	0.422540241032551	9.9999999999989e-05	0.176478822272892	0.464154289155525	0.184898220821668	0.336231552999577	0.530029428211386	0.250071707248289	0.616005255572467	0.38322227336013	0.368679464328446	0.0324640214629142	0.318251688063666	0.454807279413077	0.00819574216217611	0.188176047179258	0.0163426610095737	0.696243640932209	0.0957399068053745	2.53248634481951e-05	0.225834462383869	0.119930218750674	0.0481394019797566	0.509190299105624	0.438984657861254	0.10304045357649	0.36117347424373	0.34622781814434	0.0325364514878534	0.0468026720199899
C00086	0.0947446835662191	0.121530744733716	0.120673004379022	0.127051193029943	0.369834254942685	0.225993637179297	0.0959937148225114	0.159074963237876	0.256354852421067	0.267374440828403	0.181717276859702	9.00010000000062e-05	0.0810066818873811	0.214230158462266	0.0612288745453968	0.147211332840158	0.289096825969346	0.121931818432325	0.263861273391431	0.253337383143398	0.124041551515733	0.0122520490341922	0.0967721865481046	0.101904281728988	0.00304253521191711	0.0861162778197979	0.00777771009995087	0.415418725050657	0.0428954505624032	8.80618377063769e-06	0.0663695432338269	1.19930218750453e-05	0.0193050733496656	0.215656584282665	0.150059782034398	0.0177314798664689	0.0410574981862395	0.117239071241546	0.015021706398328	0.0126871125257902
C00332	0.00910809909192767	0.0108525200705623	0.0136267664915346	0.0396661404604178	0.0569240751528572	0.00555989242885202	0.0120725139438596	0.00511825801019261	0.185891338628454	0.00557673859988361	0.00329242230835491	0.0554486586517687	0.00764250390889398	0.00730538603856745	0.0262184673962954	0.0174811150894498	0.0503741277443619	0.00589290932984232	0.0507638289287964	0.119574044591945	0.000340337871333807	9.23092969493666e-05	0.00070906864771092	0.000332060873925122	4.48418928655769e-08	4.22774744127663e-05	0.000141723344898814	0.000125733227907543	5.29971327933865e-08	4.72089912717522e-08	1.00439310646294e-07	2.45525953901371e-07	0.000227103703243303	0.000956502640375612	3.43617408342656e-05	0.000142151362019005	2.55511134028552e-07	2.60658901130029e-08	1.17536425037201e-10	9.75994881624587e-06
C00147	0.000169589505534806	0.000690937491833132	0.00073873089138965	0.000151745022241467	1.0976714870381e-08	4.89806936894155e-05	0.000179088940918892	0.000436443948274023	3.72020996012301e-05	1.12371579819026e-08	0.000144498668325777	8.33827384916219e-09	7.29191967252518e-05	8.39443431186471e-05	0.00132702088760184	0.000171041250398241	2.41886062161134e-05	0.000412560345320334	0.00147435381478422	2.76798424613256e-05	1.93099175737066e-05	9.41391409270409e-12	0	6.45450359826327e-12	1.30136462939134e-07	1.20102037648451e-07	4.85842910347145e-09	1.05377928605321e-11	8.80020945004389e-10	1.55431223447522e-15	7.3620526608309e-07	2.39875981300486e-08	6.87559388312664e-08	1.05368803682282e-08	8.26872847037308e-06	3.87735488489582e-05	3.25244334942187e-06	2.20828678676455e-08	5.08762335593715e-08	4.41427973063568e-08
C02291	0.266076291075379	0.435023924768519	0.4302947408103	0.358254118173909	0.256524127563239	0.281084982110396	0.542879722544193	0.351913754152755	0.507473539994624	0.178988867462281	0.329834478490004	0.196907440082049	0.347853790233951	0.335466531006781	0.499153747512977	0.279633746673902	0.329947242581887	0.41490343765053	0.366532081463556	0.308559055757854	0.699707400081698	1	0.105834271148712	0.6919991823126	0.702306024770902	0.374824195077039	0.455057999887728	0.370279886909858	0.449158381717885	0.347452819932595	0.813015873983109	0.751927192471945	0.396582967584288	0.0374354539500217	0.477678169651979	0.327211699687193	9.9999999999989e-05	0.219633422520383	0.550767070000404	0.65933840211593
C00164	0.0120828335430531	0.0347501404298368	0.0119534781142397	0.133394290675095	0.13327394786219	0.00466014336409437	0.0155773992256364	0.00702226320542643	0.408055088063572	0.00740505702741578	0.0105746790861673	0.0621538232498547	0.0264180611340908	0.0121558123764208	0.01213487250665	0.0195306755984732	0.0545903993745175	0.00849356536861534	0.00102054917569228	0.114626915541679	0.00435519337302415	0.000273579287513703	0.0178667488098783	0.049648074853729	6.16489519211783e-07	0.175468188099261	1.29119804903599e-06	0.0077106816364616	0.0709559506676248	0.0280654621381601	0.000120363360937237	0.017351346003683	0.00181581911586082	0.0352963943745127	4.5412450710991e-07	0.00913831343216542	0.133344559532735	8.76037998810419e-05	0.00590616880319939	0.0169683381038886
C01598	3.79030140607028e-13	1.36160149821762e-09	2.61605848095314e-10	3.1924718424392e-10	2.60458321577062e-13	1.11022302462516e-16	6.95679280848793e-08	1.36515176940577e-09	4.05712907713962e-10	1.11022302462516e-16	1.63240165829137e-09	2.3392399128852e-13	8.43325409505269e-13	2.19824158875781e-13	4.64406291200703e-13	5.6905546941266e-10	7.58282325818982e-14	3.12777870270509e-09	1.26090038410354e-09	6.12843109593086e-14	1.11022302462516e-16	1.11022302462516e-16	1.16018306073329e-13	2.79660739010978e-11	6.34937213916942e-10	1.11022302462516e-16	9.53681578153009e-14	1.11022302462516e-16	5.42121902924464e-13	7.12652159506888e-13	9.61897228535236e-13	5.73652236823818e-13	3.82913034613352e-10	6.76902978113958e-13	9.00057806063614e-13	5.41899858319539e-13	1.11022302462516e-16	1.63979940737136e-13	5.89861492983346e-13	4.24660306919122e-13
