Gene,CNT38,CNT48,CNT56,IPD12,IPD13,IPD28
MAP2,4.761784373,4.2772925,2.9655225,4.210295,5.293425638,6.4161875
MAP2K1,19.4045,17.6515,16.8701,23.9003,22.9746,20.8189
MAP2K2,69.5153,87.2412,52.3195,68.9117,72.4566,104.379
MAP2K3,2.259893333,2.46078,1.929495,2.392420667,2.108336667,3.857366667
MAP2K4,7.185550032,7.867300002,5.340750007,8.2532,8.030650815,8.5356
MAP2K5,2.293844003,2.691893333,2.401244333,2.847636667,2.333031333,9.639293333
MAP2K6,4.4288,4.60058,5.872945,4.834295,4.331625,11.3266
MAP2K7,5.285896667,5.280154333,4.33349,5.690016667,4.406259333,6.356806667
MAP3K1,4.95731,4.44674,3.77415,5.44679,5.14021,5.05692
MAP3K10,5.52221,6.09956,7.32407,4.18559,4.07984,9.61035
MAP3K11,13.2748,15.6647,7.54955,13.5408,10.8731,15.7332
MAP3K12,5.281095,6.084515,6.03018,6.971655,4.382125,4.30946
MAP3K13,3.100833675,2.442505251,2.69971225,3.521663225,2.67167075,4.577244783
MAP3K14,3.10008,3.33194,3.01129,3.6429,2.47221,2.35236
MAP3K15,0.481108,0.154506,0.646312,0.62856,0.653649,0.441013
MAP3K19,0,0.011533573,0.006452388,0.002905383,0,0.007944927
MAP3K2,5.32989,4.31977,4.77684,6.0422,3.96541,5.72577
MAP3K20,3.898845,4.185775,4.51173,5.337695,3.783195,4.6264
MAP3K21,1.02147,1.06087,0.805456,1.5198,0.611692,0.300141
MAP3K3,2.064865,2.705505,2.352085,1.968267,1.6598275,2.04682
MAP3K4,3.57675722,3.219578,3.32483276,5.3454662,3.60494014,3.614195258
MAP3K5,0.137322,0.170401,0.071497,0.240302,0.141322,0.176071
MAP3K6,1.706245,1.691045,0.84718085,0.934535,1.2363765,1.081881
MAP3K7,5.4434587,4.05528495,3.8528442,7.22335175,5.338095,5.14858475
MAP3K7CL,0.0388225,0.032494,0.0067105,0.046647444,0.011916556,0.021306333
MAP3K8,0.462054,0.638722333,0.311985667,0.530348667,0.434504667,0.390138333
MAP3K9,0.760134294,0.730501083,0.674730925,1.08217284,0.617267703,0.587836038
MAP4,12.84585233,11.29574301,11.58805533,13.982278,12.81352867,17.38561693
MAP4K1,0.158927,0.1171745,0.247804,0.2099345,0.145425,0.0733775
MAP4K2,2.27518085,2.093974905,2.278704895,1.689960071,1.437935,2.344760063
MAP4K3,6.87188,4.84438,4.98731,7.38542,5.130815,4.82204
MAP4K4,9.28161,7.771694,9.123294,10.15768,8.656762,12.60885
MAP4K5,7.45776,6.337205,8.04343,8.149195,7.10765,9.239415
MAP6,8.495625,10.259445,8.85775,14.59713,10.958155,22.1662
MAP6D1,3.95428,3.90314,3.99283,3.21519,3.9708,3.45687
MAP7,0.450471702,1.1084542,0.5806504,0.99465742,0.3641436,0.5671744
MAP7D1,18.07136,20.20582,13.93129667,19.83376667,16.87126333,22.82492333
MAP7D2,0.43889505,0.45425475,0.776878216,0.514755289,0.890505,0.24344275
MAP7D3,2.41108,1.744526,2.293421,4.544707667,2.535157,2.111629333
MAP9,5.87473,6.5034,5.35686,10.1391,5.59303,5.32488
MAPK1,12.867485,11.435595,10.967325,15.661535,13.120555,15.511535
MAPK10,0.6164681,0.505776583,0.4973781,0.777727007,0.651833333,0.825626833
MAPK11,22.295015,16.1772115,22.53601,23.58194,10.471686,12.08305
MAPK12,26.836,13.5631,26.22145,24.9366,15.32412,15.802705
MAPK13,0.4683395,0.44969977,0.836119,0.41239914,0.218197,0.429843
MAPK14,2.7865375,2.9450575,2.59324125,3.932995,3.337525,3.5620505
MAPK15,20.5147,11.8712,19.8338,22.5431,8.65186,10.726
MAPK1IP1L,24.0437,21.7096,18.9601,26.5498,22.2665,24.0378
MAPK3,7.652606669,8.228826667,5.1175,9.6348,7.947563333,6.58886
MAPK4,1.642517,1.909885982,1.304333,1.985633667,1.381976667,1.875388633
MAPK6,30.447,28.531,20.0963,35.9138,38.879,39.0152
MAPK7,2.49854025,3.231506,1.806890395,2.597002,2.094235,3.12890625
