"SOIidx","start","end","formula","mass","anot","Bf_1","Bf_2","Bi_1","Bi_2","QC_00","QC_01","QC_02","QC_03","QC_04","QC_05","QC_06","QC_07","QC_08","QC_09","QC_10","QC_11","QC_12","QC_13","Suero_C01_08","Suero_C02","Suero_C03","Suero_C04","Suero_C05","Suero_C06","Suero_C07","Suero_P1_V1","Suero_P1_V3_5","Suero_P1_V4","Suero_P1_V6","Suero_P2_V1","Suero_P2_V3_5","Suero_P2_V4","Suero_P2_V6","Suero_P3_V1","Suero_P3_V3_5","Suero_P3_V4","Suero_P3_V6","Suero_P4_V1","Suero_P4_V3_5","Suero_P4_V4","Suero_P4_V6","Suero_P5_V1","Suero_P5_V3_5","Suero_P5_V4","Suero_P5_V6","Suero_P6_V1","Suero_P6_V3_5","Suero_P6_V4","Suero_P6_V6","Suero_P7_V1","Suero_P7_V3_5","Suero_P7_V4","Suero_P7_V6","Suero_P8_V1","Suero_P8_V3_5","Suero_P8_V4","Suero_P8_V6"
3311,93.60878771202,112.041842928,"[C19H28NaO6]+",375.17781,"C19H28O6_M+Na",NA,NA,NA,NA,67105.5078125,63070.1953125,63629.1640625,67074.7265625,60349.8515625,77870.453125,69257.0546875,74443.6015625,79268.5703125,83706.6328125,83559.359375,90094.890625,92905.953125,83744.328125,92661.1640625,5877.44677734375,NA,NA,NA,6134.56591796875,NA,94918.6328125,NA,NA,38692.91796875,245081.375,NA,28082.8984375,161849.3125,7467.28076171875,133724.796875,NA,231751.546875,27665.3203125,41723.01171875,224168.859375,48318.875,162255.390625,163807.09375,17220.80859375,56687.35546875,199166.078125,NA,NA,108418.3828125,96020.7890625,183379.875,63450.265625,48513.4609375,NA,145169.328125,85764.078125,NA
3312,82.5,97.5,"[C24H35NNaO]+",376.26108,"C24H35NO_M+Na",NA,NA,NA,NA,13382.716796875,132559.65625,12200.4658203125,25308.86328125,13606.6220703125,16714.37109375,25980.4921875,62118.9921875,117912.2109375,205929.703125,147346.890625,158503.078125,162207.515625,119928.15625,269516.59375,155952.65625,120602.1640625,13693.5576171875,93041.8984375,398068.0625,46093.5703125,230013.78125,111466.4375,68287.59375,104446.7890625,184311.328125,86055.9609375,23101.119140625,78896.578125,114718.15625,53327.8359375,71378.390625,96868.8125,281858.53125,98729.0234375,334932.28125,57058.6484375,138672.125,21285.69921875,189293.453125,21782.591796875,381532.3125,23177.826171875,181735.71875,30666.30859375,102621.84375,48779.859375,116636.453125,57047.16015625,247270.390625,83529.609375,94366.1953125,38896.78515625
3313,360,377.5,"[C14H26NaO10]+",377.14182,"C14H26O10_M+Na",33222.91796875,39600.34375,NA,22473.8125,3522235.75,3619810.75,3863886,3768830.25,3808052,3981671,3973250,3777291.75,3871040,3886406.25,3862533.75,3527871.75,3857257,3591698.5,74109.3046875,67478.5546875,71604.2890625,76078.4453125,4877.154296875,151501.234375,64777.12109375,388210.5625,6284.18212890625,71340.71875,228596.6875,68498.9140625,4983.05615234375,89547.984375,99847.4765625,44075412,28260576,29288774,23713524,62199.96484375,73449.09375,124589.6875,64876.453125,63933.5,64184.71484375,84057.578125,85112.5859375,95690.171875,5604.599609375,71329.5390625,89989.421875,94150.09375,159112.015625,249024.5625,89935.8203125,358405.40625,130697.0546875,313479,110387.203125
3314,360,377.5,"[C20H25O5S]+",377.14172,"C20H24O5S_M+H",33222.91796875,39600.34375,NA,22473.8125,3522235.75,3619810.75,3863886,3768830.25,3808052,3981671,3973250,3777291.75,3871040,3886406.25,3862533.75,3527871.75,3857257,3591698.5,74109.3046875,67478.5546875,71604.2890625,76078.4453125,63411.7421875,151501.234375,64777.12109375,388210.5625,61889.94921875,71340.71875,228596.6875,68498.9140625,69942.3359375,89547.984375,99847.4765625,44075412,28260576,29288774,23713524,62199.96484375,73449.09375,124589.6875,64876.453125,63933.5,64184.71484375,84057.578125,85112.5859375,95690.171875,5604.599609375,71329.5390625,89989.421875,94150.09375,159112.015625,249024.5625,89935.8203125,358405.40625,130697.0546875,313479,110387.203125
3316,169.88010193602,192.921602736,"[C17H21N4O6]+",377.14556,"C17H20N4O6_M+H",NA,NA,NA,NA,85721.671875,73356.3828125,77992.90625,74167.2578125,77470.09375,94237.828125,87704.6484375,75443.5234375,80008.0859375,85610.8203125,88205.765625,92469,87591.3046875,93587.9453125,53860.41796875,35376.7734375,78678.7578125,52621.15625,82669.5,54379.75,85116.109375,135260.46875,134280.40625,108805.4765625,137483.59375,107763.4921875,118684.75,130254.296875,114624.6484375,26982.2109375,45531.31640625,38571.38671875,44771.3515625,120968.296875,121866.59375,276643.09375,164905.28125,108734.9609375,64474.7265625,100071.9140625,120748.171875,95617.5390625,77455.65625,118248.1484375,80727.078125,100859,177243.59375,112681.171875,84907.2578125,95257.1875,84333.9765625,83105.2734375,81199.421875
3317,192.921602736,209.43432463998,"[C17H21N4O6]+",377.14556,"C17H20N4O6_M+H",NA,NA,NA,NA,46629.92578125,48693.0859375,45881.81640625,50823.36328125,54862.515625,55377.7421875,51960.5703125,51164.5625,53508.890625,61139.8984375,57043.34765625,56194,62282.2265625,68296.6015625,8008.45751953125,20493.201171875,56827.26171875,39217.82421875,42101.37890625,36845.14453125,55755.47265625,91616.9609375,90420.5703125,76200.7109375,94924.1953125,59601.89453125,65432.90625,71355.5859375,75427.265625,13652.9716796875,31478.861328125,19371.900390625,27555.5390625,98650.9375,91184.1015625,119886.453125,98183.6171875,75535.7421875,47314.2421875,69809.390625,79885.78125,57187.7890625,50558.88671875,82923.9140625,35310.4765625,66396.3359375,99482.8671875,70767.6640625,53407.30859375,67953.9765625,61892.3125,58453.51953125,55337.921875
3318,97.5,125,"[C24H25O4]+",377.17474,"C24H24O4_M+H; C24H26O5_M+H-H2O",NA,NA,NA,NA,23658.7265625,22920.298828125,28199.05859375,20810.080078125,29569.912109375,30254.62890625,25624.638671875,23874.931640625,30075.25390625,35531.25390625,31038.36328125,33645.1640625,33505.87109375,27492.462890625,27047.5625,NA,NA,NA,NA,NA,NA,38322.828125,NA,NA,15781.01953125,87704.2890625,NA,11068.7802734375,49290.61328125,8443.6806640625,38905.2578125,NA,68906.0390625,9804.1513671875,14049.19921875,67571,20547.537109375,50717.3671875,50355.2109375,5475.8583984375,19640.884765625,56076.71875,NA,NA,37700.16796875,26529.3984375,63238.09375,22665.353515625,18160.8046875,NA,49532.625,29612.40234375,NA
3319,120,135,"[C21H29O6]+",377.19586,"C21H28O6_M+H; C21H30O7_M+H-H2O",NA,NA,NA,NA,17127.267578125,12761.4677734375,15285.6953125,16050.10546875,14054.984375,13198.421875,17384.828125,15203.63671875,17595.78515625,17640.20703125,17999.642578125,16679.5625,15322.3583984375,18422.79296875,20015.232421875,25335.68359375,28305.09375,44802.921875,12619.5302734375,13492.8203125,15459.89453125,12955.9658203125,10853.98828125,25492.056640625,20599.341796875,22782.169921875,18564.83984375,25340.2578125,23346.365234375,24053.224609375,26736.65625,9605.7333984375,14262.7216796875,21061.28515625,20335.00390625,42863.50390625,21295.099609375,16493.205078125,15113.6044921875,17678.58203125,15930.64453125,4403.82568359375,7588.92138671875,6946.990234375,12264.611328125,12704.5087890625,14677.189453125,9784.232421875,8267.0595703125,16329.5625,16905.44140625,15611.8017578125,19056.923828125
3322,170,180,"[C22H21FN3O2]+",378.16123,"C22H22FN3O3_M+H-H2O",NA,NA,NA,NA,73201.890625,58926.55859375,76400.9375,81604.171875,69664.96875,63551.94921875,65078.35546875,60321.1171875,93573.4296875,103456.7421875,117395.09375,116439.15625,110534.6484375,94915.40625,86694.046875,91458.3125,104923.234375,74530.8671875,84161.8515625,98779.0546875,80220.96875,106484.8359375,80083.546875,74676.90625,77721.5859375,89832.2734375,121330.59375,33845.921875,96222.3671875,126744.8515625,113000.8125,129702.984375,90264.515625,88616.6328125,86172.9375,162205.671875,96190.21875,98919.703125,120205.1953125,116348.7265625,78984.7109375,85207.7265625,67856.5546875,91434.2421875,123153.4296875,107428.4375,116424.0546875,85796.171875,72570.6015625,100437.7890625,87071.1484375,117209.8671875,89351.84375
3323,337.5,352.5,"[C17H24NaO8]+",379.13634,"C17H24O8_M+Na",30026.625,25099.056640625,NA,17477.3515625,1149665.5,1108537.25,1023641,982144.9375,932206.25,975843.5625,973076.3125,968469.1875,763915.5625,572431.125,576930.375,424763.875,375677.5625,342281.125,34331.7109375,35420.86328125,25570.373046875,38845.83984375,23201.0703125,32007.51171875,36654.1953125,33549.81640625,29911.728515625,21975.119140625,37606.47265625,22371.3828125,24830.6953125,23507.10546875,26521.18359375,4688540.5,2435575.25,4621152.5,3164537.25,15750.423828125,27225.93359375,22409.830078125,19685.154296875,23586.380859375,26667.95703125,22942.94140625,30460.982421875,26268.798828125,43014.8828125,19275.8203125,26439.703125,21890.16015625,22489.275390625,30759.68359375,32790.8828125,44225.8828125,26073.267578125,20853.23828125,21597.576171875
