"SOIidx","start","end","formula","mass","anot","Bf_1","Bf_2","Bi_1","Bi_2","QC_00","QC_01","QC_02","QC_03","QC_04","QC_05","QC_06","QC_07","QC_08","QC_09","QC_10","QC_11","QC_12","QC_13","Suero_C01_08","Suero_C02","Suero_C03","Suero_C04","Suero_C05","Suero_C06","Suero_C07","Suero_P1_V1","Suero_P1_V3_5","Suero_P1_V4","Suero_P1_V6","Suero_P2_V1","Suero_P2_V3_5","Suero_P2_V4","Suero_P2_V6","Suero_P3_V1","Suero_P3_V3_5","Suero_P3_V4","Suero_P3_V6","Suero_P4_V1","Suero_P4_V3_5","Suero_P4_V4","Suero_P4_V6","Suero_P5_V1","Suero_P5_V3_5","Suero_P5_V4","Suero_P5_V6","Suero_P6_V1","Suero_P6_V3_5","Suero_P6_V4","Suero_P6_V6","Suero_P7_V1","Suero_P7_V3_5","Suero_P7_V4","Suero_P7_V6","Suero_P8_V1","Suero_P8_V3_5","Suero_P8_V4","Suero_P8_V6"
2149,134.123667264,157.21025801598,"[C10H14ClN2O6]-",293.05459,"C10H14N2O6_M+Cl",NA,NA,NA,NA,67747.2734375,84770.0546875,69179.375,55168.90625,70891.453125,55468.61328125,73480.625,72746.40625,62318.36328125,69009.0703125,65437.09765625,61619.5859375,70457.8671875,73326.78125,50377.6875,61233.0234375,54315.97265625,65858.90625,64657.40234375,66408.328125,71134.765625,98318.109375,57634.359375,63647.21875,66986.8515625,59018.140625,87497.828125,102404.1953125,68459.7578125,89317.8984375,54557.63671875,63228.09765625,64837.7734375,63479.58984375,49262.421875,127211.5234375,62997.453125,74633.046875,60884.16015625,67146.34375,80446.984375,58818.43359375,69229.90625,65001.7890625,65709.0625,83648.0234375,111761.4140625,67919.8359375,70261.4609375,76547.015625,66177.6875,56701.51171875,49478.2578125
2150,140,147.5,"[C16H22ClN2O]-",293.14207,"C16H25ClN2O2_M-H2O-H; C16H22N2O_M+Cl",NA,NA,NA,NA,12333.8447265625,15805.8486328125,15162.9404296875,18166.966796875,13362.3798828125,11010.388671875,12494.7041015625,11360.8505859375,7491.662109375,11589.345703125,14776.466796875,14303.0244140625,8741.0791015625,7263.70849609375,9548.8984375,40352.1875,10409.06640625,17752.70703125,8693.9033203125,29970.765625,19948.802734375,NA,NA,NA,12374.234375,13879.2646484375,10489.7314453125,16562.984375,11855.1005859375,NA,NA,NA,7380.02490234375,10215.0283203125,19026.841796875,27733.0234375,NA,8515.2138671875,9874.37890625,NA,NA,26883.22265625,17998.36328125,18015.775390625,NA,17128.318359375,14721.439453125,9734.7314453125,24076.283203125,13903.2353515625,14430.7607421875,10221.271484375,9019.205078125
2151,135.67446363198,159.943562976,"[C18H29O3]-",293.21222,"C18H30O3_M-H; C18H32O4_M-H2O-H",36398.890625,36957.04296875,9044.41796875,40986.32421875,301016.8125,278367.09375,322410.625,339347.625,355570.1875,485342.90625,437068.5625,431175.84375,599453,593093.0625,463798.25,526139.125,578314.0625,586238.625,7568.341796875,11933.939453125,6256.52587890625,23017.787109375,12338.31640625,18831.53515625,12026.927734375,30525.857421875,26077.283203125,10656.1796875,16235.6064453125,30702.79296875,22877.349609375,6770.55078125,23495.82421875,10987.64453125,42485.1875,6137.10888671875,10460.4482421875,9604.6669921875,10907.98046875,8930.0302734375,8020.65625,22871.439453125,20073.27734375,22920.068359375,15550.380859375,16041.5009765625,31690.05859375,11421.3076171875,9231.1591796875,21334.71875,27118.5234375,26424.052734375,23690.181640625,19864.400390625,11612.2255859375,8629.681640625,7188.375
2152,103.21562411202,134.123667264,"[C10H14ClN2O6]-",293.05459,"C10H14N2O6_M+Cl",NA,NA,NA,NA,132599.546875,108713.1796875,106934.59375,110668.4140625,111838.03125,103334.6171875,105779.1875,118509.046875,119851.9921875,111843.875,113416.296875,104091.4296875,132841.453125,115550.234375,91796.5078125,132231.296875,77592.234375,127035.8515625,130417.1484375,132459.390625,129068.2734375,172224.625,132199.203125,125076.1640625,147055.59375,116165.9765625,120144.1953125,161131.0625,102391.859375,165053.1875,99447.5,111096.75,105384.9765625,98832.765625,77716.828125,177955.109375,106613.8125,132246.65625,110028.953125,86830.765625,124921.359375,88610.7734375,121417.6796875,102996.8046875,113843.359375,131849.140625,146753.53125,123701.03125,118056.84375,106161.859375,98308.953125,99721.875,83936.9921875
2153,102.5,110,"[C11H17O9]-",293.08726,"C11H20O10_M-H2O-H; C11H18O9_M-H",NA,NA,NA,NA,29627.0390625,36474.6640625,32991.984375,29347.53515625,34936.7421875,41329.23828125,27454.900390625,23588.150390625,27069.685546875,33414.57421875,19444.349609375,31100.396484375,24389.6484375,28687.76171875,48299.07421875,21228.138671875,40471.09375,33474.5078125,33396.7421875,30916.390625,41392.125,34963.640625,27697.33203125,18904.576171875,25342.8359375,18973.333984375,26052.47265625,24226.9765625,14556.12890625,19316.63671875,39114.51953125,39149.41015625,50299.39453125,54786.74609375,25574.38671875,25779.541015625,32986.7265625,39635.0703125,33118.0703125,38953.125,33529.265625,36157.734375,8769.0390625,13427.40234375,35512.7265625,28683.048828125,38273.16015625,25953.166015625,34627.046875,23035.349609375,34181.8671875,31774.193359375,36766.15234375
2154,115,140,"[C12H21O8]-",293.12419,"C12H22O8_M-H",NA,NA,NA,NA,56229.28515625,48734.3359375,50772.79296875,48174.80859375,50505.55859375,50771.3984375,42483.01171875,41235.93359375,42190.1484375,45208.16796875,40224.9765625,56460.15625,42304.296875,46634.4765625,22522.443359375,58441.6015625,46864.6328125,42718.48828125,61316.92578125,65875.8125,48497.5546875,44509.27734375,39329.9453125,28574.888671875,48333.44140625,33077.3984375,35788.49609375,34951.390625,32270.40625,47251.2578125,44288.55078125,35056.8671875,43230.765625,56044.1171875,37503.8984375,86168.765625,43462.33984375,38355.6484375,38657.1796875,46292.85546875,41690.30078125,61514.2265625,52049.58203125,47681.88671875,39941.97265625,13484.4833984375,11682.244140625,12507.0634765625,8134.67138671875,49169.00390625,44985.48828125,43248.8515625,43731.97265625
2155,102.5,117.5,"[C16H22ClN2O]-",293.14207,"C16H25ClN2O2_M-H2O-H; C16H22N2O_M+Cl",NA,NA,NA,NA,34673.9140625,26248.44140625,28397.9140625,34870.0859375,28908.994140625,28587.3828125,33614.796875,29610.306640625,27957.900390625,20868.201171875,23311.56640625,26864.564453125,27406.009765625,20163.443359375,32978.453125,81893.875,45774.1171875,37126.68359375,33003.92578125,56040.83984375,38189.484375,19815.361328125,16929.771484375,10684.3779296875,24134.791015625,56877.4609375,27702.7890625,40900.1875,34721.23828125,25375.5078125,11488.66015625,15774.1923828125,17871.986328125,33721.36328125,27357.771484375,64299.046875,27507.25,23209.99609375,26265.345703125,28984.697265625,22614.802734375,24822.93359375,20803.986328125,22391.30859375,NA,36332.5,44018.1484375,25309.833984375,45243.49609375,17426.267578125,9814.1337890625,6777.8056640625,7985.0234375
2156,99.778686864,135.67446363198,"[C18H29O3]-",293.21222,"C18H30O3_M-H; C18H32O4_M-H2O-H",91503.7734375,82855.765625,20962.767578125,83606.890625,395156.625,445593.1875,456713.03125,526016.75,533875.3125,575159.4375,564834.5,568941,655278.75,703093.25,669889.1875,696353.75,788539.375,705777.1875,18892.67578125,28966.466796875,17118.548828125,37255.875,29293.421875,34012.65625,24543.609375,63118.44140625,39253.203125,34808.04296875,45338.48828125,42170.9296875,82232.046875,81036.1484375,75587.796875,11262.0673828125,53905.26953125,20194.6015625,14916.33984375,20666.353515625,35862.5859375,26919.451171875,21900.404296875,51931.76171875,32797.12890625,25680.5546875,25559.4453125,35167.21484375,48506.56640625,21844.693359375,15853.5859375,25357.408203125,30556.828125,26424.052734375,40265.97265625,22865.689453125,29136.888671875,28259.416015625,17696.37109375
2157,77.5,92.5,"[C10H14ClN2O6]-",293.05459,"C10H14N2O6_M+Cl",NA,NA,NA,NA,91357.7421875,81108.484375,95802.4765625,79102.4765625,92628.9609375,87023.9921875,41392.7265625,56609.0859375,114227.7109375,81367.4296875,93571.0078125,99525.515625,76100.6484375,103906.65625,69716.203125,91753.6640625,57994.37890625,69925.5078125,68835.7109375,92834.7265625,125616.3359375,104246.5625,91818.0390625,74256.2890625,93345.734375,96109.0234375,97744.625,152612.5625,91933.828125,131849.53125,70485.1328125,72174.3515625,87845.6015625,42564.33203125,39153.453125,157881.203125,72213.375,90095.2734375,84019.6484375,75756.9296875,84257.8984375,69713.65625,69635.984375,75984.03125,80804.515625,101392.1015625,107994.125,115716.984375,99535.15625,89740.6484375,79963.8125,72870.921875,64309.328125
2159,206.57465523198,221.915025792,"[C18H29O3]-",293.21222,"C18H30O3_M-H; C18H32O4_M-H2O-H",6360.939453125,7122.33154296875,NA,8268.14453125,24068.3359375,20382.095703125,26608.81640625,25623.146484375,26900.87109375,34134.37109375,28873.91796875,33835.375,31644.107421875,26275.693359375,26660.6953125,27731.91015625,30253.462890625,31017.451171875,30167.08984375,55619.625,20865.68359375,27034.892578125,25169.916015625,32233.39453125,20534.9921875,17686.66015625,15112.298828125,12086.2734375,31106.134765625,24314.080078125,20639.279296875,31213.9453125,23331.46484375,37717.51171875,17481.556640625,23221.671875,26313.826171875,41863.703125,34898.421875,73830.953125,22388.685546875,41758.77734375,21739.486328125,30383.376953125,26467.0703125,14582.455078125,17484.765625,13387.1513671875,8513.1806640625,30686.037109375,25574.16796875,24814.048828125,36168.015625,31509.18359375,21277.5625,26087.595703125,19905.927734375
