"SOIidx","start","end","formula","mass","anot","Ampolla_P1_V1","Ampolla_P1_V3_5","Ampolla_P1_V4","Ampolla_P1_V6","Ampolla_P2_V1","Ampolla_P2_V3_5","Ampolla_P2_V4","Ampolla_P2_V6","Ampolla_P3_V1","Ampolla_P3_V3_5","Ampolla_P3_V4","Ampolla_P3_V6","Ampolla_P4_V1","Ampolla_P4_V3_5","Ampolla_P4_V4","Ampolla_P4_V6","Ampolla_P5_V1","Ampolla_P5_V3_5","Ampolla_P5_V4","Ampolla_P5_V6","Ampolla_P6_V1","Ampolla_P6_V3_5","Ampolla_P6_V4","Ampolla_P6_V6","Ampolla_P7_V1","Ampolla_P7_V3_5","Ampolla_P7_V4","Ampolla_P7_V6","Ampolla_P8_V1","Ampolla_P8_V3_5","Ampolla_P8_V4","Ampolla_P8_V6","Bf_1","Bi_1","Bi_2","QCa_00","QCa_01","QCa_02","QCa_03","QCa_04","QCa_05","QCa_06","QCa_07","QCa_08","QCa_09","QCa_10","QCa_11"
450,427.5,447.5,"[C11H24N3O2]+",230.1863,"C11H20N2O2_M+NH4; C11H23N3O2_M+H",14772.2294921875,15537.751953125,13136.1044921875,14049.5341796875,11602.123046875,9912.7529296875,19385.19921875,16056.912109375,19941.91796875,12951.078125,17741.76171875,15311.275390625,12033.3623046875,18644.8359375,13876.34375,12574.615234375,15409.7548828125,14759.642578125,14375.5107421875,17751.16796875,15818.3349609375,11161.1806640625,14852.1904296875,12865.4375,16618.8828125,14648.2724609375,15924.41015625,12713.1640625,14141.7470703125,11472.41796875,15579.0830078125,16983.552734375,15743.8876953125,NA,7844.78369140625,11806.857421875,20854.01953125,10890.5390625,13936.1669921875,14891.2431640625,13705.1435546875,13929.7744140625,12159.365234375,14326.451171875,16245.7158203125,12584.2333984375,13143.138671875
452,347.5,370,"[C11H25NNaO6P]+",321.13117,"C11H25NO6P_M+Na",179341.8125,97993.9453125,15483.0419921875,112527.890625,119774.3046875,14725.802734375,125814.890625,13298.9697265625,115375.8828125,130542.171875,161632.328125,129166.734375,147178.515625,134117.890625,115022.59375,10330.4921875,104096.0078125,131437.921875,119328.296875,89802.328125,133600.0625,135545.28125,119626.421875,11688.60546875,156279.703125,101766.5546875,140520.53125,12273.1826171875,122316.5703125,134628.921875,95351.1640625,10884.927734375,11954.84375,21063.462890625,17000.857421875,78767.4296875,89878.1328125,17318.4140625,13752.01171875,73943.921875,16412.52734375,87262.0625,79575.75,86851.4921875,110027.5,11767.6689453125,105346.6953125
453,32.5,37.5,"[C11H26NO6]+",268.17546,"C11H22O6_M+NH4",17949.3359375,7575.4169921875,29934.6484375,9734.3974609375,11466.3447265625,20984.87109375,10901.4287109375,14321.2001953125,38858.45703125,14236.2119140625,16118.7685546875,17308.005859375,12856.4453125,16150.498046875,29212.328125,9199.923828125,23225.158203125,12985.10546875,10462.5703125,10753.5009765625,11318.6708984375,20169.2265625,12575.5654296875,12384.10546875,17365.31640625,12922.52734375,15583.48046875,6802.18408203125,22541.150390625,41873.46484375,26055.04296875,25933.35546875,20438.361328125,NA,7863.84375,NA,7500.83203125,10042.0283203125,16516.98046875,10695.1298828125,10716.962890625,12952.6953125,15225.4873046875,10066.9541015625,28203.740234375,21851.58984375,17643.1171875
454,70,95,"[C11H28NO4]+",238.20128,"C11H24O4_M+NH4",24479.763671875,14892.900390625,23498.33203125,17608.78515625,16704.779296875,12586.8701171875,27502.318359375,27734.556640625,23576.517578125,23950.681640625,16172.6279296875,18793.1484375,13533.2763671875,43925.8203125,24692.65234375,26725.810546875,31616.35546875,21756.63671875,25087.841796875,37244.79296875,21080.0546875,NA,42196.11328125,41250.1484375,16281.642578125,36726.3046875,22256.796875,20596.166015625,23943.642578125,29474.57421875,16881.94921875,90981.515625,NA,NA,NA,51300.66796875,60289.99609375,42187.984375,35822.71875,69493.0078125,50723.171875,39804.1328125,37123.4375,44827.421875,35283.921875,47339.921875,49605.16015625
455,417.5,425,"[C11H29N2O6P]+",316.17577,"C11H25NO6P_M+NH4",50526.57421875,48537.33984375,36608.28515625,34893.24609375,8559.6650390625,15579.6181640625,14212.0341796875,7515.50146484375,NA,NA,7291.22314453125,9163.8251953125,18878.9140625,7684.42822265625,15677.3037109375,11498.23828125,15443.138671875,21953.1953125,25733.25390625,9811.013671875,8775.626953125,19166.224609375,9299.3505859375,28749.251953125,8830.3935546875,NA,7237.67822265625,15496.16015625,19376.513671875,51273.6640625,15596.0927734375,13071.2705078125,NA,NA,NA,32075.87109375,25084.134765625,34228.18359375,32784.796875,27821.34375,27739.052734375,26941.29296875,24203.490234375,22147.115234375,22972.68359375,14847.3896484375,13511.451171875
457,35,42.5,"[C11H8ClN4]+",231.0432,"C11H7ClN4_M+H",20368.330078125,23283.7890625,17050.701171875,13953.759765625,22147.76953125,16079.70703125,17676.4765625,12991.9248046875,17179.998046875,12062.3310546875,NA,NA,26815.109375,NA,16539.83203125,12167.6767578125,39772.32421875,30421.046875,17575.85546875,28748.712890625,16283.1845703125,19972.208984375,NA,15717.38671875,19095.03515625,12402.876953125,NA,18862.365234375,19238.51171875,28604.1796875,NA,NA,NA,NA,NA,20766.609375,18170.296875,17341.314453125,27259.3203125,18505.484375,18907.103515625,21640.78515625,25044.4375,22241.345703125,26819.99609375,31782.07421875,28728.232421875
459,125,135,"[C11H9N2O]+",185.07094,"C11H10N2O2_M+H-H2O; C11H8N2O_M+H",15552.1669921875,10544.25390625,14960.927734375,8017.81494140625,11523.57421875,10469.876953125,15826.93359375,8472.208984375,10042.8388671875,11910.736328125,12029.412109375,14056.060546875,17528.501953125,14846.708984375,13481.0439453125,18546.814453125,11367.8603515625,11071.587890625,9312.5419921875,10971.6162109375,10501.4248046875,11970.5703125,7956.86328125,11292.8876953125,19046.919921875,9869.1748046875,19175.740234375,16642.61328125,13306.38671875,13306.515625,8752.4169921875,11385.39453125,NA,NA,NA,10958.9267578125,9655.1416015625,8074.0908203125,9029.087890625,11047.6337890625,7477.017578125,12092.951171875,11840.0966796875,13483.453125,12682.58984375,17782.619140625,15962.140625
460,297.5,302.5,"[C12H10N2NaOS2]+",285.01267,"C12H10N2OS2_M+Na",16350.0615234375,32124.59765625,NA,29998.4765625,10282.33984375,NA,NA,18320.388671875,NA,NA,NA,NA,25535.853515625,18869.56640625,24211.46484375,18138.134765625,16695.529296875,NA,23049.353515625,12293.154296875,47896.91015625,34375.11328125,28914.1953125,NA,24524.54296875,19845.265625,17559.349609375,25105.73046875,15071.328125,12660.8212890625,29785.64453125,9604.8388671875,NA,NA,NA,22880.673828125,18096.240234375,12808.443359375,13463.46875,16754.0546875,13558.015625,17083.798828125,NA,10683.0458984375,14064.0966796875,24142.681640625,17278.388671875
461,362.5,377.5,"[C12H11N3S]+",229.06682,"C12H10N3S_M+H",23762.439453125,21611.328125,22183.36328125,16153.6455078125,18304.37109375,22166.44140625,19000.552734375,20446.978515625,18374.99609375,15461.5498046875,24481.017578125,16085.2890625,26164.50390625,25097.59765625,25849.091796875,18646.37109375,17944.8203125,22119.80859375,17392.072265625,14303.6044921875,21303.955078125,21532.875,11870.6845703125,24282.826171875,24140.896484375,23694.546875,21002.185546875,21517.126953125,20537.263671875,22026.400390625,14954.27734375,19288.8203125,NA,NA,NA,14419.369140625,14930.3203125,22418.453125,15335.48046875,16740.451171875,19967.5703125,16930.34765625,15619.92578125,20060.296875,16940.65625,16912.94140625,18351.13671875
462,360,365,"[C12H11OS2]+",235.02458,"C12H10OS2_M+H",NA,12109.79296875,10188.328125,16141.9169921875,10156.154296875,6778.7001953125,8126.60546875,6339.76220703125,NA,12478.8779296875,7756.2646484375,NA,12186.0419921875,13265.2099609375,NA,10697.5517578125,NA,13947.775390625,NA,5628.404296875,NA,6859.88720703125,NA,NA,NA,14453.2216796875,7603.1748046875,17700.306640625,NA,10891.8505859375,NA,7758.1865234375,NA,NA,NA,19222.111328125,12047.236328125,15829.5908203125,12024.896484375,19065.080078125,9309.615234375,10953.8779296875,NA,NA,NA,NA,NA
468,115,127.5,"[C12H12N3O2]+",230.0924,"C12H11N3O2_M+H; C12H8N2O2_M+NH4",NA,7364.95703125,9689.28125,12516.4697265625,8290.9208984375,10338.3994140625,7074.84521484375,NA,NA,NA,19408.548828125,9104.060546875,7881.099609375,NA,9645.005859375,12656.7939453125,NA,8527.6884765625,9307.5703125,NA,NA,NA,NA,NA,12114.4345703125,7574.63525390625,12711.54296875,NA,NA,11119.974609375,NA,NA,NA,NA,NA,10731.830078125,14577.115234375,12669.9169921875,11322.5458984375,10046.552734375,8990.98828125,17293.654296875,8893.9228515625,NA,7614.8212890625,8058.93505859375,NA
